country,player_name,fan-ratings
Scotland ,BTJ Wheal,7.5

Scotland ,SM Sharif,6

Scotland ,C Tear,6

Scotland ,MA Leask,5.3

Scotland ,MA Jones,5.3

Scotland ,RD Berrington,5.2

Scotland ,BJ Currie,4.7

Scotland ,MRJ Watt,4.6

Scotland ,MH Cross,4.4

Scotland ,OJ Hairs,4.4

Scotland ,GT Main,4.4

Scotland ,CN Greaves,4.1

Scotland ,HG Munsey,3.2



South Africa ,RR Hendricks,8.7

South Africa ,T Shamsi,8.1

South Africa ,OEG Baartman,7.1

South Africa ,N Peter,7.1

South Africa ,K Rabada,6.9

South Africa ,KA Maharaj,6.9

South Africa ,AL Phehlukwayo,6.7

South Africa ,H Klaasen,6.3

South Africa ,PE Kruger,5.2

South Africa ,M Jansen,5.1

South Africa ,DA Miller,4.9

South Africa ,G Coetzee,4.9

South Africa ,AK Markram,4.3

South Africa ,MP Breetzke,4.2

South Africa ,A Nortje,4

South Africa ,T Stubbs,4

South Africa ,HE van der Dussen,3.9

South Africa ,BC Fortuin,3.6

South Africa ,RD Rickelton,3

South Africa ,Q de Kock,2.8

South Africa ,PWA Mulder,2.8

South Africa ,L Ngidi,2.8



Sri Lanka ,PHKD Mendis,8.8

Sri Lanka ,CBRLS Kumara,7.7

Sri Lanka ,DM de Silva,7.4

Sri Lanka ,AM Fernando,7.1

Sri Lanka ,MVT Fernando,7.1

Sri Lanka ,NGRP Jayasuriya,7

Sri Lanka ,KNM Fernando,6.8

Sri Lanka ,FDM Karunaratne,6.5

Sri Lanka ,BKG Mendis,6.1

Sri Lanka ,AD Mathews,5.7

Sri Lanka ,LD Chandimal,5.4



Uganda ,J Miyagi,6.9

Uganda ,K Waiswa,4.1

Uganda ,F Achelam,3.4

Uganda ,H Ssenyondo,3.2

Uganda ,Bilal Hassun,3.1

Uganda ,B Masaba,2.8

Uganda ,C Kyewuta,2.7

Uganda ,DM Nakrani,2.7

Uganda ,RB Patel,2.6

Uganda ,R Obuya,2.5

Uganda ,S Ssesazi,2.5

Uganda ,F Nsubuga,2

Uganda ,RG Mukasa,1.7

Uganda ,Riazat Ali Shah,1.6

Uganda ,AR Ramjani,1.6


United States of America ,AGS Gous,10

United States of America ,NP Kenjige,9.5

United States of America ,SC van Schalkwyk,9.4

United States of America ,MD Patel,9.4

United States of America ,Harmeet Singh,9

United States of America ,NR Kumar,9

United States of America ,Milind Kumar,8.8

United States of America ,SN Netravalkar,8.6

United States of America ,G Singh,8

United States of America ,Jasdeep Singh,7.8

United States of America ,SR Taylor,7.5

United States of America ,CJ Anderson,6.7

United States of America ,Aaron Jones,5.8

United States of America ,NK Patel,5

United States of America ,Shayan Jahangir,4.9

United States of America ,Ali Khan,4.1

United States of America ,Usman Rafiq,3.6

West Indies ,Rovman Powell,8.2

West Indies ,Johnson Charles,7.9

West Indies ,Shimron Hetmyer,7.7

West Indies ,Shai Hope,7.7

West Indies ,Nicholas Pooran,7.2

West Indies ,Sherfane Rutherford,6.8

West Indies ,Brandon King,6.4

West Indies ,Roston Chase,4

West Indies ,Kyle Mayers,5.3

West Indies ,Andre Russell,6

West Indies ,Romario Shepherd,4.7

West Indies ,Jason Holder,6

West Indies ,Alzarri Joseph,7.7

West Indies ,Akeal Hosein,3

West Indies ,Shamar Joseph,4.5

West Indies ,Obed McCoy,4.2

West Indies ,Gudakesh Motie,3.6
